순위,상품명,판매가,작가,출판사,출시일자,분야
75,진짜 쓰는 실무 엑셀,"18,900",오빠두(전진권),제이펍,20220215,컴퓨터/IT
76,윤석열 X파일,"14,400",열린공감TV,열린공감TV,20220204,정치/사회
77,백광,"13,050",렌조 미키히코,모모,20220214,소설
78,포켓몬스터 가라르 도감,"10,800",대원키즈 편집부,대원키즈,20210520,어린이(초등)
79,모순,"11,700",양귀자,쓰다,20130401,소설
80,저주토끼,"13,320",정보라,아작,20220401,소설
81,거의 모든 행동 표현의 영어,"18,000",서영조,사람in,20220310,외국어
82,무엇이 옳은가,"16,020",후안 엔리케스,세계사,20220419,인문
83,데미안,"7,200",헤르만 헤세,민음사,20090120,소설
84,유럽 도시 기행 2,"15,750",유시민,생각의길,20220709,인문
85,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),"15,300",김상현,필름(Feelm),20220420,시/에세이
86,이상한 과자 가게 전천당 13,"10,800",히로시마 레이코,길벗스쿨,20220124,어린이(초등)
87,럭키 드로우,"14,400",드로우앤드류,다산북스,20220125,자기계발
88,마흔에 읽는 니체(10만 부 양장 리커버 에디션),"14,400",장재형,유노북스,20220901,인문
89,보도 섀퍼의 이기는 습관,"15,300",보도 섀퍼,토네이도,20220318,자기계발
90,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,"13,320",장명숙,김영사,20210818,시/에세이
91,백년허리 2: 치료편,"16,650",정선근,언탱글링,20210513,건강
92,나는 장사의 신이다,"15,120",은현장,떠오름(RISE),20211220,경제/경영
93,눈물 한 방울,"14,220",이어령,김영사,20220630,인문
94,나의 MBTI가 궁금하단 마리몽,"14,220",김소나,더모던,20211130,시/에세이
95,설민석의 한국사 대모험 19,"10,800",설민석 외,아이휴먼,20211228,어린이(초등)
96,나의 투자는 새벽 4시에 시작된다,"17,820",유목민,리더스북,20220415,경제/경영
97,흔한남매 과학 탐험대 4: 물질,"12,600",흔한남매 ,주니어김영사,20220228,어린이(초등)
98,여름이 온다,"24,300",이수지,비룡소,20210727,유아(0~7세)
99,딱 2년 안에 무조건 돈 버는 부동산 투자 시크릿,"15,750",김세희(세빛희),비즈니스북스,20211210,경제/경영
100,잘했고 잘하고 있고 잘 될 것이다(스페셜 리미티드 에디션),"13,500",정영욱,부크럼,20210514,시/에세이
101,삶의 격,"14,400",페터 비에리,은행나무,20141029,인문
102,포켓몬 전국 캐릭터 대도감: 다이아몬드 펄,"12,600",학산문화사 편집부,학산문화사,20200825,어린이(초등)
103,부의 인문학(20만부 기념 개정증보판),"15,300",우석,오픈마인드,20220321,경제/경영
104,아직 오지 않은 날들을 위하여,"14,400",파스칼 브뤼크네르,인플루엔셜,20211112,인문
105,토익 단기공략 750+(LC+RC),"16,200",ETS,YBM,20200820,외국어
106,NFT 사용설명서,"16,200",맷 포트나우 외,여의도책방,20211129,경제/경영
107,공간의 미래,"14,400",유현준,을유문화사,20210425,인문
108,세계를 건너 너에게 갈게,"11,250",이꽃님,문학동네,20210924,청소년
109,해커스 토익 스타트 리딩(Reading) RC,"13,410",David Cho,해커스어학연구소,20220221,외국어
110,시크릿,"15,120",론다 번,살림Biz,20070618,자기계발
111,다정한 것이 살아남는다(10만 부 기념 스페셜 에디션),"19,800",브라이언 헤어 외,디플롯,20210726,과학
112,방구석 미술관,"15,120",조원재,블랙피쉬,20211221,예술/대중문화
113,벌거벗은 세계사: 사건편,"20,700",tvn<벌거벗은세계사>제작팀,교보문고,20220125,역사/문화
114,전념,"16,020",피트 데이비스,상상스퀘어,20220105,인문
115,우리는 지금 문학이 필요하다,"24,120",앵거스 플레처,비잉(Being),20211222,인문
116,해커스 보카(Hackers Vocabulary),"15,210",David Cho,해커스어학연구소,20211213,외국어
117,고양이 해결사 깜냥 4: 눈썰매장을 씽씽 달려라!,"9,900",홍민정,창비,20220121,어린이(초등)
118,초역 니체의 말,"14,220",프리드리히 니체,삼호미디어,20220829,인문
119,죽이고 싶은 아이,"11,250",이꽃님,우리학교,20210607,청소년
120,부자의 그릇,"13,500",이즈미 마사토,다산북스,20201214,경제/경영
121,둥실이네 떡집,"9,900",김리리,비룡소,20220422,어린이(초등)
122,우리가 빛의 속도로 갈 수 없다면,"12,600",김초엽,허블,20190624,소설
123,지리의 힘,"18,000",팀 마샬,사이,20160810,정치/사회
124,정의란 무엇인가,"13,500",마이클 샌델,와이즈베리,20141120,인문
125,클루지,"12,420",개리 마커스,갤리온,20081124,인문
126,완전한 행복,"14,220",정유정,은행나무,20210608,소설
127,에그박사 6,"12,150",에그박사 ,미래엔아이세움,20220310,어린이(초등)
128,임신 출산 육아 대백과(2022~2023),"17,550",삼성출판사 편집부,삼성출판사,20220731,가정/육아
129,우리는 여전히 삶을 사랑하는가,"14,220",라이너 풍크,김영사,20220211,인문
130,모든 것은 기본에서 시작한다,"14,400",손웅정,수오서재,20211015,시/에세이
131,오백 년째 열다섯,"11,250",김혜정,위즈덤하우스,20220128,청소년
132,나미야 잡화점의 기적,"13,320",히가시노 게이고,현대문학,20121219,소설
133,허상의 어릿광대,"16,920",히가시노 게이고,재인,20211216,소설
134,10배의 법칙,"15,120",그랜트 카돈,부키,20220330,자기계발
135,원피스 101: 주연 등장,"4,950",Eiichiro Oda,대원씨아이,20220324,만화
136,이순신의 바다,"19,800",황현필,역바연,20211216,역사/문화
137,멋진 신세계,"12,420",올더스 헉슬리,소담출판사,20150612,소설
138,흔한남매의 흔한 호기심 5,"11,700",흔한남매 ,미래엔아이세움,20220127,어린이(초등)
139,강성태 66일 영어회화,"15,300",강성태,다산북스,20211224,외국어
140,지적 대화를 위한 넓고 얕은 지식 1,"14,400",채사장,웨일북(whalebooks),20200205,인문
141,넛지(파이널 에디션),"19,800",리처드 탈러 외,리더스북,20220620,경제/경영
142,백년허리 1: 진단편,"16,650",정선근,언탱글링,20210415,건강
143,143층 나무 집,"12,600",앤디 그리피스,시공주니어,20220330,어린이(초등)
144,연이와 버들 도령,"16,200",백희나,책읽는곰,20211230,유아(0~7세)
145,이것은 작은 브랜드를 위한 책,"14,220",이근상,몽스북,20211224,경제/경영
146,친밀한 이방인,"11,700",정한아,문학동네,20171013,소설
147,아주 작은 습관의 힘,"14,400",제임스 클리어,비즈니스북스,20190226,자기계발
148,스파이 패밀리 1,"5,400",Tatsuya Endo,학산문화사,20191128,만화
149,알사탕,"10,800",백희나,책읽는곰,20170325,유아(0~7세)
150,해커스 OPIc 오픽 Advanced 공략,"14,310",해커스 오픽연구소,해커스,20210813,외국어
151,나는 불안할 때 논어를 읽는다,"16,020",판덩,미디어숲,20220330,자기계발
152,체리새우: 비밀글입니다,"10,350",황영미,문학동네,20190128,청소년
153,H마트에서 울다,"14,400",미셸 자우너,문학동네,20220228,시/에세이
154,저만치 혼자서,"13,500",김훈,문학동네,20220601,소설
155,월가의 영웅,"23,400",피터 린치 외,국일증권경제연구소,20210730,경제/경영
156,비전공자를 위한 이해할 수 있는 IT 지식,"15,120",최원영,티더블유아이지,20200714,컴퓨터/IT
157,영어 필사 100일의 기적,"13,500",퍼포먼스 코치 리아,넥서스,20211110,외국어
158,백년운동,"17,550",정선근,아티잔,20191031,건강
159,미움받을 용기,"13,410",기시미 이치로 외,인플루엔셜,20141117,인문
160,나로서 충분히 괜찮은 사람,"14,400",김재식,북로망스,20220510,시/에세이
161,도파민네이션,"16,200",애나 렘키,흐름출판,20220321,인문
162,종목 선정 나에게 물어봐,"23,400",김정수,하움출판사,20211111,경제/경영
163,한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),"17,820",해커스 어학연구소,해커스어학연구소,20220103,외국어
164,시간 고양이,"11,700",박미연,이지북,20211020,어린이(초등)
165,1984,"13,320",조지 오웰,소담출판사,20211208,소설
166,뉴욕주민의 진짜 미국식 주식투자,"21,600",뉴욕주민,비즈니스북스,20220111,경제/경영
167,세상에서 가장 쉬운 본질육아,"16,920",지나영,21세기북스,20220928,가정/육아
168,너무 잘하려고 애쓰지 마라,"12,600",나태주,열림원,20220531,시/에세이
169,마법천자문 53: 결정을 내리다! 결단할 결,"12,600",유대영,아울북,20220712,어린이(초등)
170,작은 별이지만 빛나고 있어(20만 부 기념 한정판 에디션),"13,500",소윤,북로망스,20210929,시/에세이
171,컬러애 물들다,"15,120",밥 햄블리,리드리드출판,20220511,자기계발
172,읽으면서 바로 써먹는 어린이 수수께끼: 공포 특급,"11,700",한날,파란정원,20220725,어린이(초등)
173,믹스(Mix),"16,920",안성은(Brand Boy),더퀘스트,20220816,경제/경영
174,12 1/2 부와 성공을 부르는 12가지 원칙,"13,500",게리 바이너척,천그루숲,20220220,자기계발
175,거인의 포트폴리오,"16,200",강환국,페이지2북스,20211108,경제/경영
176,어린이 한국사 퀴즈 1,"10,800",한날,파란정원,20211224,어린이(초등)
177,흔한남매 별난 방탈출 4,"11,520",흔한남매 ,미래엔아이세움,20211220,어린이(초등)
178,나는 나로 살기로 했다(골드 에디션),"14,400",김수현,클레이하우스,20220204,시/에세이
179,해커스 토익 스타트 리스닝(Listening) LC,"13,410",David Cho,해커스어학연구소,20220221,외국어
180,저 별은 모두 당신을 위해 빛나고 있다,"13,680",손힘찬(오가타 마리토),떠오름(RISE),20220422,시/에세이
181,영어 회화의 결정적 단어들,"16,200",서영조,사람in,20200306,외국어
182,지리의 힘 2,"20,700",팀 마샬,사이,20220410,정치/사회
183,하루를 48시간으로 사는 마법,"13,500",이재은,비즈니스북스,20211217,자기계발
184,나는 대출 없이 0원으로 소형 아파트를 산다,"18,000",잭파시(최경천),다산북스,20220419,경제/경영
185,종의 기원,"11,700",정유정,은행나무,20160516,소설
